model,fold,accuracy,macro_f1,weighted_f1
logreg,1,0.8649350649350649,0.8150636850484875,0.8634499044160356
logreg,2,0.8909090909090909,0.8477713223499354,0.8892215570536697
logreg,3,0.8857142857142857,0.8425204136499481,0.8827046622582505
logreg,4,0.8441558441558441,0.7743947256012976,0.8392044238960544
logreg,5,0.890625,0.8554373204832587,0.8895570337825713
svm,1,0.8753246753246753,0.8253472400976082,0.8733968445332386
svm,2,0.8805194805194805,0.8304516648485792,0.8761275447320327
svm,3,0.8805194805194805,0.8391929754860238,0.8769900408627263
svm,4,0.8467532467532467,0.7768477611355467,0.8400161315130507
svm,5,0.9010416666666666,0.8627878327658655,0.8994833772186103
xgboost,1,0.8805194805194805,0.8218235098235098,0.8746392101405088
xgboost,2,0.8649350649350649,0.8026216509905367,0.8567206427147311
xgboost,3,0.8675324675324675,0.8156818451252669,0.8604358747866115
xgboost,4,0.8519480519480519,0.789493598655009,0.8439160173458592
xgboost,5,0.8854166666666666,0.8446091809020809,0.8809669578206982
