model_a,model_b,diff_pp,ci95_lo_pp,ci95_hi_pp
LogReg,Linear SVM,-1.18,-2.65,0.00
LogReg,XGBoost,0.88,-2.06,4.12
LogReg,Qwen3.5-4B (FT),-2.65,-5.88,0.59
LogReg,Gemma3-4B (FT),-3.24,-6.76,0.29
LogReg,Qwen3.5-4B (ZS),-3.53,-5.88,-1.47
LogReg,Gemma3-4B (ZS),-0.88,-4.71,2.94
LogReg,FinBERT (ZS),-7.06,-10.29,-3.82
LogReg,FinBERT (FT),-7.35,-10.59,-4.41
Linear SVM,XGBoost,2.06,-0.88,5.00
Linear SVM,Qwen3.5-4B (FT),-1.47,-4.41,1.47
Linear SVM,Gemma3-4B (FT),-2.06,-5.29,1.18
Linear SVM,Qwen3.5-4B (ZS),-2.35,-4.12,-0.59
Linear SVM,Gemma3-4B (ZS),0.29,-3.24,3.82
Linear SVM,FinBERT (ZS),-5.88,-9.12,-2.94
Linear SVM,FinBERT (FT),-6.18,-9.12,-3.53
XGBoost,Qwen3.5-4B (FT),-3.53,-7.35,0.00
XGBoost,Gemma3-4B (FT),-4.12,-7.65,-0.88
XGBoost,Qwen3.5-4B (ZS),-4.41,-7.35,-1.76
XGBoost,Gemma3-4B (ZS),-1.76,-5.59,2.06
XGBoost,FinBERT (ZS),-7.94,-11.47,-4.71
XGBoost,FinBERT (FT),-8.24,-11.47,-5.29
Qwen3.5-4B (FT),Gemma3-4B (FT),-0.59,-3.53,2.35
Qwen3.5-4B (FT),Qwen3.5-4B (ZS),-0.88,-3.53,1.76
Qwen3.5-4B (FT),Gemma3-4B (ZS),1.76,-2.06,5.59
Qwen3.5-4B (FT),FinBERT (ZS),-4.41,-7.65,-1.47
Qwen3.5-4B (FT),FinBERT (FT),-4.71,-7.65,-1.76
Gemma3-4B (FT),Qwen3.5-4B (ZS),-0.29,-3.24,2.65
Gemma3-4B (FT),Gemma3-4B (ZS),2.35,-0.88,5.59
Gemma3-4B (FT),FinBERT (ZS),-3.82,-6.76,-1.18
Gemma3-4B (FT),FinBERT (FT),-4.12,-6.76,-1.47
Qwen3.5-4B (ZS),Gemma3-4B (ZS),2.65,-0.59,5.88
Qwen3.5-4B (ZS),FinBERT (ZS),-3.53,-6.47,-0.88
Qwen3.5-4B (ZS),FinBERT (FT),-3.82,-6.47,-1.18
Gemma3-4B (ZS),FinBERT (ZS),-6.18,-9.12,-3.24
Gemma3-4B (ZS),FinBERT (FT),-6.47,-9.41,-3.82
FinBERT (ZS),FinBERT (FT),-0.29,-1.47,0.88
