model_a,model_b,acc_a,acc_b,b,c,chi2_cc,p_chi2,p_exact,significant_005
LogReg,Linear SVM,0.9088235294117647,0.9205882352941176,1,5,1.5,0.22067136191984676,0.21875,False
LogReg,XGBoost,0.9088235294117647,0.9,16,13,0.13793103448275862,0.7103465689955668,0.711071103811264,False
LogReg,Qwen3.5-4B (FT),0.9088235294117647,0.9352941176470588,11,20,2.064516129032258,0.1507627750266453,0.14961278438568115,False
LogReg,Gemma3-4B (FT),0.9088235294117647,0.9411764705882353,14,25,2.5641025641025643,0.10931457620866634,0.10812902140605729,False
LogReg,Qwen3.5-4B (ZS),0.9088235294117647,0.9441176470588235,1,13,8.642857142857142,0.0032834609860690417,0.0018310546875,True
LogReg,Gemma3-4B (ZS),0.9088235294117647,0.9176470588235294,20,23,0.09302325581395349,0.7603683300552028,0.7607916425613439,False
LogReg,FinBERT (ZS),0.9088235294117647,0.9794117647058823,4,28,16.53125,4.785483974377341e-05,1.9301194697618484e-05,True
LogReg,FinBERT (FT),0.9088235294117647,0.9823529411764705,2,27,19.862068965517242,8.323556199256727e-06,1.6242265701293945e-06,True
Linear SVM,XGBoost,0.9205882352941176,0.9,16,9,1.44,0.2301393404434165,0.2295229434967041,False
Linear SVM,Qwen3.5-4B (FT),0.9205882352941176,0.9352941176470588,11,16,0.5925925925925926,0.4414183267820537,0.44206833839416504,False
Linear SVM,Gemma3-4B (FT),0.9205882352941176,0.9411764705882353,13,20,1.0909090909090908,0.29626987148428635,0.296206368599087,False
Linear SVM,Qwen3.5-4B (ZS),0.9205882352941176,0.9441176470588235,1,9,4.9,0.026856695507524418,0.021484375,True
Linear SVM,Gemma3-4B (ZS),0.9205882352941176,0.9176470588235294,20,19,0.0,1.0,1.0,False
Linear SVM,FinBERT (ZS),0.9205882352941176,0.9794117647058823,4,24,12.892857142857142,0.0003298385207779934,0.00017999112606048584,True
Linear SVM,FinBERT (FT),0.9205882352941176,0.9823529411764705,2,23,16.0,6.334248366623977e-05,1.9431114196777344e-05,True
XGBoost,Qwen3.5-4B (FT),0.9,0.9352941176470588,14,26,3.025,0.08199032100038299,0.0806904677519924,False
XGBoost,Gemma3-4B (FT),0.9,0.9411764705882353,10,24,4.970588235294118,0.025781877777472526,0.024306510109454393,True
XGBoost,Qwen3.5-4B (ZS),0.9,0.9441176470588235,5,20,7.84,0.005110260660855862,0.004077315330505371,True
XGBoost,Gemma3-4B (ZS),0.9,0.9176470588235294,20,26,0.5434782608695652,0.46099478642557795,0.4613911821367651,False
XGBoost,FinBERT (ZS),0.9,0.9794117647058823,4,31,19.314285714285713,1.1087370209737688e-05,3.4654513001441956e-06,True
XGBoost,FinBERT (FT),0.9,0.9823529411764705,1,29,24.3,8.243906238216842e-07,5.774199962615967e-08,True
Qwen3.5-4B (FT),Gemma3-4B (FT),0.9352941176470588,0.9411764705882353,11,13,0.041666666666666664,0.8382564863858264,0.8388197422027588,False
Qwen3.5-4B (FT),Qwen3.5-4B (ZS),0.9352941176470588,0.9441176470588235,8,11,0.21052631578947367,0.6463551955394902,0.6476058959960938,False
Qwen3.5-4B (FT),Gemma3-4B (ZS),0.9352941176470588,0.9176470588235294,24,18,0.5952380952380952,0.4404006981390033,0.44079906734259566,False
Qwen3.5-4B (FT),FinBERT (ZS),0.9352941176470588,0.9794117647058823,7,22,6.758620689655173,0.00932958471977156,0.008130058646202087,True
Qwen3.5-4B (FT),FinBERT (FT),0.9352941176470588,0.9823529411764705,5,21,8.653846153846153,0.003263716901670236,0.002493917942047119,True
Gemma3-4B (FT),Qwen3.5-4B (ZS),0.9411764705882353,0.9441176470588235,12,13,0.0,1.0,1.0,False
Gemma3-4B (FT),Gemma3-4B (ZS),0.9411764705882353,0.9176470588235294,20,12,1.53125,0.21592493894014034,0.21532714972272515,False
Gemma3-4B (FT),FinBERT (ZS),0.9411764705882353,0.9794117647058823,5,18,6.260869565217392,0.012343360353455027,0.010622024536132812,True
Gemma3-4B (FT),FinBERT (FT),0.9411764705882353,0.9823529411764705,4,18,7.681818181818182,0.005577994003398274,0.004343509674072266,True
Qwen3.5-4B (ZS),Gemma3-4B (ZS),0.9441176470588235,0.9176470588235294,21,12,1.9393939393939394,0.1637343543245921,0.16275565745308995,False
Qwen3.5-4B (ZS),FinBERT (ZS),0.9441176470588235,0.9794117647058823,6,18,5.041666666666667,0.024744672046398953,0.022655844688415527,True
Qwen3.5-4B (ZS),FinBERT (FT),0.9441176470588235,0.9823529411764705,4,17,6.857142857142857,0.008828760952818628,0.007197380065917969,True
Gemma3-4B (ZS),FinBERT (ZS),0.9176470588235294,0.9794117647058823,3,24,14.814814814814815,0.00011860013866224713,4.9233436584472656e-05,True
Gemma3-4B (ZS),FinBERT (FT),0.9176470588235294,0.9823529411764705,2,24,16.96153846153846,3.8144777827131046e-05,1.049041748046875e-05,True
FinBERT (ZS),FinBERT (FT),0.9794117647058823,0.9823529411764705,2,3,0.0,1.0,1.0,False
